uf;mesoreg;microrreg;municip
Rondônia;Leste Rondoniense;Vilhena;São Felipe D'Oeste
Rondônia;Madeira-Guaporé;Guajará-Mirim;São Francisco do Guaporé
Rondônia;Leste Rondoniense;Alvorada D'Oeste;São Miguel do Guaporé
Rondônia;Leste Rondoniense;Alvorada D'Oeste;Seringueiras
Rondônia;Leste Rondoniense;Ji-Paraná;Teixeirópolis
Rondônia;Leste Rondoniense;Ji-Paraná;Theobroma
Rondônia;Leste Rondoniense;Ji-Paraná;Urupá
Rondônia;Leste Rondoniense;Ariquemes;Vale do Anari
Rondônia;Leste Rondoniense;Ji-Paraná;Vale do Paraíso
Rondônia;Leste Rondoniense;Vilhena;Vilhena
Acre;Vale do Acre;Rio Branco;Acrelândia
Acre;Vale do Acre;Brasiléia;Assis Brasil
Acre;Vale do Acre;Brasiléia;Brasiléia
Acre;Vale do Acre;Rio Branco;Bujari
Acre;Vale do Acre;Rio Branco;Capixaba
Acre;Vale do Juruá;Cruzeiro do Sul;Cruzeiro do Sul
Acre;Vale do Acre;Brasiléia;Epitaciolândia
Acre;Vale do Juruá;Tarauacá;Feijó
Acre;Vale do Juruá;Tarauacá;Jordão
Acre;Vale do Juruá;Cruzeiro do Sul;Mâncio Lima
Acre;Vale do Acre;Sena Madureira;Manoel Urbano
Acre;Vale do Juruá;Cruzeiro do Sul;Marechal Thaumaturgo
Acre;Vale do Acre;Rio Branco;Plácido de Castro
Acre;Vale do Acre;Rio Branco;Porto Acre
Acre;Vale do Juruá;Cruzeiro do Sul;Porto Walter
Acre;Vale do Acre;Rio Branco;Rio Branco
Acre;Vale do Juruá;Cruzeiro do Sul;Rodrigues Alves
Acre;Vale do Acre;Sena Madureira;Santa Rosa do Purus
Acre;Vale do Acre;Sena Madureira;Sena Madureira
Acre;Vale do Acre;Rio Branco;Senador Guiomard
Acre;Vale do Juruá;Tarauacá;Tarauacá
Acre;Vale do Acre;Brasiléia;Xapuri
Amazonas;Centro Amazonense;Tefé;Alvarães
Amazonas;Sudoeste Amazonense;Alto Solimões;Amaturá
Amazonas;Centro Amazonense;Coari;Anamã
Amazonas;Centro Amazonense;Coari;Anori
Amazonas;Sul Amazonense;Madeira;Apuí
Amazonas;Sudoeste Amazonense;Alto Solimões;Atalaia do Norte
Amazonas;Centro Amazonense;Manaus;Autazes
Amazonas;Norte Amazonense;Rio Negro;Barcelos
Amazonas;Centro Amazonense;Parintins;Barreirinha
Amazonas;Sudoeste Amazonense;Alto Solimões;Benjamin Constant
Amazonas;Centro Amazonense;Coari;Beruri
Amazonas;Centro Amazonense;Parintins;Boa Vista do Ramos
Amazonas;Sul Amazonense;Boca do Acre;Boca do Acre
Amazonas;Sul Amazonense;Madeira;Borba
Amazonas;Centro Amazonense;Coari;Caapiranga
Amazonas;Sul Amazonense;Purus;Canutama
Amazonas;Sudoeste Amazonense;Juruá;Carauari
Amazonas;Centro Amazonense;Manaus;Careiro
Amazonas;Centro Amazonense;Manaus;Careiro da Várzea
Amazonas;Centro Amazonense;Coari;Coari
Amazonas;Centro Amazonense;Coari;Codajás
Amazonas;Sudoeste Amazonense;Juruá;Eirunepé
Amazonas;Sudoeste Amazonense;Juruá;Envira
Amazonas;Sudoeste Amazonense;Alto Solimões;Fonte Boa
Amazonas;Sudoeste Amazonense;Juruá;Guajará
Amazonas;Sul Amazonense;Madeira;Humaitá
Amazonas;Sudoeste Amazonense;Juruá;Ipixuna
Amazonas;Centro Amazonense;Manaus;Iranduba
Amazonas;Centro Amazonense;Itacoatiara;Itacoatiara
Amazonas;Sudoeste Amazonense;Juruá;Itamarati
Amazonas;Centro Amazonense;Itacoatiara;Itapiranga
Amazonas;Norte Amazonense;Japurá;Japurá
Amazonas;Sudoeste Amazonense;Juruá;Juruá
Amazonas;Sudoeste Amazonense;Alto Solimões;Jutaí
Amazonas;Sul Amazonense;Purus;Lábrea
Amazonas;Centro Amazonense;Manaus;Manacapuru
Amazonas;Centro Amazonense;Manaus;Manaquiri
Amazonas;Centro Amazonense;Manaus;Manaus
Amazonas;Sul Amazonense;Madeira;Manicoré
Amazonas;Norte Amazonense;Japurá;Maraã
Amazonas;Centro Amazonense;Parintins;Maués
Amazonas;Centro Amazonense;Parintins;Nhamundá
Amazonas;Centro Amazonense;Itacoatiara;Nova Olinda do Norte
Amazonas;Norte Amazonense;Rio Negro;Novo Airão
Amazonas;Sul Amazonense;Madeira;Novo Aripuanã
Amazonas;Centro Amazonense;Parintins;Parintins
Amazonas;Sul Amazonense;Boca do Acre;Pauini
Amazonas;Centro Amazonense;Rio Preto da Eva;Presidente Figueiredo
Amazonas;Centro Amazonense;Rio Preto da Eva;Rio Preto da Eva
Amazonas;Norte Amazonense;Rio Negro;Santa Isabel do Rio Negro
Amazonas;Sudoeste Amazonense;Alto Solimões;Santo Antônio do Içá
Amazonas;Norte Amazonense;Rio Negro;São Gabriel da Cachoeira
Amazonas;Sudoeste Amazonense;Alto Solimões;São Paulo de Olivença
Amazonas;Centro Amazonense;Parintins;São Sebastião do Uatumã
Amazonas;Centro Amazonense;Itacoatiara;Silves
Amazonas;Sudoeste Amazonense;Alto Solimões;Tabatinga
Amazonas;Sul Amazonense;Purus;Tapauá
Amazonas;Centro Amazonense;Tefé;Tefé
Amazonas;Sudoeste Amazonense;Alto Solimões;Tonantins
Amazonas;Centro Amazonense;Tefé;Uarini
Amazonas;Centro Amazonense;Parintins;Urucará
Amazonas;Centro Amazonense;Itacoatiara;Urucurituba
Roraima;Norte de Roraima;Boa Vista;Alto Alegre
Roraima;Norte de Roraima;Boa Vista;Amajari
Roraima;Norte de Roraima;Boa Vista;Boa Vista
Roraima;Norte de Roraima;Nordeste de Roraima;Bonfim
Roraima;Norte de Roraima;Nordeste de Roraima;Cantá
Roraima;Sul de Roraima;Caracaraí;Caracaraí
Roraima;Sul de Roraima;Sudeste de Roraima;Caroebe
Roraima;Sul de Roraima;Caracaraí;Iracema
Roraima;Sul de Roraima;Caracaraí;Mucajaí
Roraima;Norte de Roraima;Nordeste de Roraima;Normandia
Roraima;Norte de Roraima;Boa Vista;Pacaraima
Roraima;Sul de Roraima;Sudeste de Roraima;Rorainópolis
Roraima;Sul de Roraima;Sudeste de Roraima;São João da Baliza
Roraima;Sul de Roraima;Sudeste de Roraima;São Luiz
Roraima;Norte de Roraima;Nordeste de Roraima;Uiramutã
Pará;Nordeste Paraense;Cametá;Abaetetuba
Pará;Sudeste Paraense;Paragominas;Abel Figueiredo
Pará;Nordeste Paraense;Tomé-Açu;Acará
Pará;Marajó;Furos de Breves;Afuá
Pará;Sudeste Paraense;Parauapebas;Água Azul do Norte
Pará;Baixo Amazonas;Santarém;Alenquer
Pará;Baixo Amazonas;Almeirim;Almeirim
Pará;Sudoeste Paraense;Altamira;Altamira
Pará;Marajó;Furos de Breves;Anajás
Pará;Metropolitana de Belém;Belém;Ananindeua
Pará;Sudoeste Paraense;Altamira;Anapu
Pará;Nordeste Paraense;Bragantina;Augusto Corrêa
Pará;Nordeste Paraense;Guamá;Aurora do Pará
Pará;Sudoeste Paraense;Itaituba;Aveiro
Pará;Marajó;Portel;Bagre
Pará;Nordeste Paraense;Cametá;Baião
Pará;Sudeste Paraense;São Félix do Xingu;Bannach
Pará;Metropolitana de Belém;Belém;Barcarena
Pará;Metropolitana de Belém;Belém;Belém
Pará;Baixo Amazonas;Santarém;Belterra
Pará;Metropolitana de Belém;Belém;Benevides
Pará;Sudeste Paraense;Paragominas;Bom Jesus do Tocantins
Pará;Nordeste Paraense;Bragantina;Bonito
Pará;Nordeste Paraense;Bragantina;Bragança
Pará;Sudoeste Paraense;Altamira;Brasil Novo
Pará;Sudeste Paraense;Marabá;Brejo Grande do Araguaia
Pará;Sudeste Paraense;Tucuruí;Breu Branco
Pará;Marajó;Furos de Breves;Breves
Pará;Metropolitana de Belém;Castanhal;Bujaru
Pará;Marajó;Arari;Cachoeira do Arari
Pará;Nordeste Paraense;Guamá;Cachoeira do Piriá
Pará;Nordeste Paraense;Cametá;Cametá
Pará;Sudeste Paraense;Parauapebas;Canaã dos Carajás
Pará;Nordeste Paraense;Bragantina;Capanema
Pará;Nordeste Paraense;Guamá;Capitão Poço
Pará;Metropolitana de Belém;Castanhal;Castanhal
Pará;Marajó;Arari;Chaves
Pará;Nordeste Paraense;Salgado;Colares
Pará;Sudeste Paraense;Conceição do Araguaia;Conceição do Araguaia
Pará;Nordeste Paraense;Tomé-Açu;Concórdia do Pará
Pará;Sudeste Paraense;São Félix do Xingu;Cumaru do Norte
Pará;Sudeste Paraense;Parauapebas;Curionópolis
Pará;Marajó;Furos de Breves;Curralinho
Pará;Baixo Amazonas;Santarém;Curuá
Pará;Nordeste Paraense;Salgado;Curuçá
Pará;Sudeste Paraense;Paragominas;Dom Eliseu
Pará;Sudeste Paraense;Parauapebas;Eldorado do Carajás
Pará;Baixo Amazonas;Óbidos;Faro
Pará;Sudeste Paraense;Conceição do Araguaia;Floresta do Araguaia
Pará;Nordeste Paraense;Guamá;Garrafão do Norte
Pará;Sudeste Paraense;Paragominas;Goianésia do Pará
Pará;Marajó;Portel;Gurupá
Pará;Nordeste Paraense;Bragantina;Igarapé-Açu
Pará;Nordeste Paraense;Cametá;Igarapé-Miri
Pará;Metropolitana de Belém;Castanhal;Inhangapi
Pará;Nordeste Paraense;Guamá;Ipixuna do Pará
Pará;Nordeste Paraense;Guamá;Irituia
Pará;Sudoeste Paraense;Itaituba;Itaituba
Pará;Sudeste Paraense;Tucuruí;Itupiranga
Pará;Sudoeste Paraense;Itaituba;Jacareacanga
Pará;Sudeste Paraense;Tucuruí;Jacundá
Pará;Baixo Amazonas;Óbidos;Juruti
Pará;Nordeste Paraense;Cametá;Limoeiro do Ajuru
Pará;Nordeste Paraense;Guamá;Mãe do Rio
Pará;Nordeste Paraense;Salgado;Magalhães Barata
Pará;Sudeste Paraense;Marabá;Marabá
Pará;Nordeste Paraense;Salgado;Maracanã
Pará;Nordeste Paraense;Salgado;Marapanim
Pará;Metropolitana de Belém;Belém;Marituba
Pará;Sudoeste Paraense;Altamira;Medicilândia
Pará;Marajó;Portel;Melgaço
Pará;Nordeste Paraense;Cametá;Mocajuba
Pará;Nordeste Paraense;Tomé-Açu;Moju
Pará;Baixo Amazonas;Santarém;Mojuí dos Campos
Pará;Baixo Amazonas;Santarém;Monte Alegre
Pará;Marajó;Arari;Muaná
Pará;Nordeste Paraense;Guamá;Nova Esperança do Piriá
Pará;Sudeste Paraense;Tucuruí;Nova Ipixuna
Pará;Nordeste Paraense;Bragantina;Nova Timboteua
Pará;Sudoeste Paraense;Itaituba;Novo Progresso
Pará;Sudeste Paraense;Tucuruí;Novo Repartimento
Pará;Baixo Amazonas;Óbidos;Óbidos
Pará;Nordeste Paraense;Cametá;Oeiras do Pará
Pará;Baixo Amazonas;Óbidos;Oriximiná
Pará;Nordeste Paraense;Guamá;Ourém
Pará;Sudeste Paraense;São Félix do Xingu;Ourilândia do Norte
Pará;Sudoeste Paraense;Altamira;Pacajá
Pará;Sudeste Paraense;Marabá;Palestina do Pará
Pará;Sudeste Paraense;Paragominas;Paragominas
Pará;Sudeste Paraense;Parauapebas;Parauapebas
Pará;Sudeste Paraense;Redenção;Pau D'Arco
Pará;Nordeste Paraense;Bragantina;Peixe-Boi
Pará;Sudeste Paraense;Redenção;Piçarra
Pará;Baixo Amazonas;Santarém;Placas
Pará;Marajó;Arari;Ponta de Pedras
Pará;Marajó;Portel;Portel
Pará;Baixo Amazonas;Almeirim;Porto de Moz
Pará;Baixo Amazonas;Santarém;Prainha
Pará;Nordeste Paraense;Bragantina;Primavera
Pará;Nordeste Paraense;Bragantina;Quatipuru
Pará;Sudeste Paraense;Redenção;Redenção
Pará;Sudeste Paraense;Redenção;Rio Maria
Pará;Sudeste Paraense;Paragominas;Rondon do Pará
Pará;Sudoeste Paraense;Itaituba;Rurópolis
Pará;Nordeste Paraense;Salgado;Salinópolis
Pará;Marajó;Arari;Salvaterra
Pará;Metropolitana de Belém;Belém;Santa Bárbara do Pará
Pará;Marajó;Arari;Santa Cruz do Arari
Pará;Metropolitana de Belém;Castanhal;Santa Izabel do Pará
Pará;Nordeste Paraense;Guamá;Santa Luzia do Pará
Pará;Sudeste Paraense;Conceição do Araguaia;Santa Maria das Barreiras
Pará;Nordeste Paraense;Bragantina;Santa Maria do Pará
Pará;Sudeste Paraense;Conceição do Araguaia;Santana do Araguaia
Pará;Baixo Amazonas;Santarém;Santarém
Pará;Nordeste Paraense;Bragantina;Santarém Novo
Pará;Metropolitana de Belém;Castanhal;Santo Antônio do Tauá
Pará;Nordeste Paraense;Salgado;São Caetano de Odivelas
Pará;Sudeste Paraense;Marabá;São Domingos do Araguaia
Pará;Nordeste Paraense;Guamá;São Domingos do Capim
Pará;Sudeste Paraense;São Félix do Xingu;São Félix do Xingu
Pará;Nordeste Paraense;Bragantina;São Francisco do Pará
Pará;Sudeste Paraense;Redenção;São Geraldo do Araguaia
Pará;Nordeste Paraense;Salgado;São João da Ponta
Pará;Nordeste Paraense;Salgado;São João de Pirabas
Pará;Sudeste Paraense;Marabá;São João do Araguaia
Pará;Nordeste Paraense;Guamá;São Miguel do Guamá
Pará;Marajó;Furos de Breves;São Sebastião da Boa Vista
Pará;Sudeste Paraense;Redenção;Sapucaia
Pará;Sudoeste Paraense;Altamira;Senador José Porfírio
Pará;Marajó;Arari;Soure
Pará;Nordeste Paraense;Tomé-Açu;Tailândia
Pará;Nordeste Paraense;Salgado;Terra Alta
Pará;Baixo Amazonas;Óbidos;Terra Santa
Pará;Nordeste Paraense;Tomé-Açu;Tomé-Açu
Pará;Nordeste Paraense;Bragantina;Tracuateua
Pará;Sudoeste Paraense;Itaituba;Trairão
Pará;Sudeste Paraense;São Félix do Xingu;Tucumã
Pará;Sudeste Paraense;Tucuruí;Tucuruí
Pará;Sudeste Paraense;Paragominas;Ulianópolis
Pará;Sudoeste Paraense;Altamira;Uruará
Pará;Nordeste Paraense;Salgado;Vigia
Pará;Nordeste Paraense;Guamá;Viseu
Pará;Sudoeste Paraense;Altamira;Vitória do Xingu
Pará;Sudeste Paraense;Redenção;Xinguara
Amapá;Norte do Amapá;Amapá;Amapá
Amapá;Norte do Amapá;Oiapoque;Calçoene
Amapá;Sul do Amapá;Macapá;Cutias
Amapá;Sul do Amapá;Macapá;Ferreira Gomes
Amapá;Sul do Amapá;Macapá;Itaubal
Amapá;Sul do Amapá;Mazagão;Laranjal do Jari
Amapá;Sul do Amapá;Macapá;Macapá
Amapá;Sul do Amapá;Mazagão;Mazagão
Amapá;Norte do Amapá;Oiapoque;Oiapoque
Amapá;Sul do Amapá;Macapá;Pedra Branca do Amapari
Amapá;Sul do Amapá;Macapá;Porto Grande
Amapá;Norte do Amapá;Amapá;Pracuúba
Amapá;Sul do Amapá;Macapá;Santana
Amapá;Sul do Amapá;Macapá;Serra do Navio
Amapá;Norte do Amapá;Amapá;Tartarugalzinho
Amapá;Sul do Amapá;Mazagão;Vitória do Jari
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Abreulândia
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Aguiarnópolis
Tocantins;Ocidental do Tocantins;Gurupi;Aliança do Tocantins
Tocantins;Oriental do Tocantins;Dianópolis;Almas
Tocantins;Ocidental do Tocantins;Gurupi;Alvorada
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Ananás
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Angico
Tocantins;Oriental do Tocantins;Porto Nacional;Aparecida do Rio Negro
Tocantins;Ocidental do Tocantins;Araguaína;Aragominas
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Araguacema
Tocantins;Ocidental do Tocantins;Rio Formoso;Araguaçu
Tocantins;Ocidental do Tocantins;Araguaína;Araguaína
Tocantins;Ocidental do Tocantins;Araguaína;Araguanã
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Araguatins
Tocantins;Ocidental do Tocantins;Araguaína;Arapoema
Tocantins;Oriental do Tocantins;Dianópolis;Arraias
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Augustinópolis
Tocantins;Oriental do Tocantins;Dianópolis;Aurora do Tocantins
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Axixá do Tocantins
Tocantins;Ocidental do Tocantins;Araguaína;Babaçulândia
Tocantins;Ocidental do Tocantins;Araguaína;Bandeirantes do Tocantins
Tocantins;Oriental do Tocantins;Jalapão;Barra do Ouro
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Barrolândia
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Bernardo Sayão
Tocantins;Oriental do Tocantins;Porto Nacional;Bom Jesus do Tocantins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Brasilândia do Tocantins
Tocantins;Ocidental do Tocantins;Gurupi;Brejinho de Nazaré
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Buriti do Tocantins
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Cachoeirinha
Tocantins;Oriental do Tocantins;Jalapão;Campos Lindos
Tocantins;Ocidental do Tocantins;Gurupi;Cariri do Tocantins
Tocantins;Ocidental do Tocantins;Araguaína;Carmolândia
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Carrasco Bonito
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Caseara
Tocantins;Oriental do Tocantins;Jalapão;Centenário
Tocantins;Oriental do Tocantins;Dianópolis;Chapada da Natividade
Tocantins;Ocidental do Tocantins;Rio Formoso;Chapada de Areia
Tocantins;Ocidental do Tocantins;Araguaína;Colinas do Tocantins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Colméia
Tocantins;Oriental do Tocantins;Dianópolis;Combinado
Tocantins;Oriental do Tocantins;Dianópolis;Conceição do Tocantins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Couto Magalhães
Tocantins;Ocidental do Tocantins;Rio Formoso;Cristalândia
Tocantins;Ocidental do Tocantins;Gurupi;Crixás do Tocantins
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Darcinópolis
Tocantins;Oriental do Tocantins;Dianópolis;Dianópolis
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Divinópolis do Tocantins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Dois Irmãos do Tocantins
Tocantins;Ocidental do Tocantins;Rio Formoso;Dueré
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Esperantina
Tocantins;Ocidental do Tocantins;Rio Formoso;Fátima
Tocantins;Ocidental do Tocantins;Gurupi;Figueirópolis
Tocantins;Ocidental do Tocantins;Araguaína;Filadélfia
Tocantins;Ocidental do Tocantins;Rio Formoso;Formoso do Araguaia
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Fortaleza do Tabocão
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Goianorte
Tocantins;Oriental do Tocantins;Jalapão;Goiatins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Guaraí
Tocantins;Ocidental do Tocantins;Gurupi;Gurupi
Tocantins;Oriental do Tocantins;Porto Nacional;Ipueiras
Tocantins;Oriental do Tocantins;Jalapão;Itacajá
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Itaguatins
Tocantins;Oriental do Tocantins;Jalapão;Itapiratins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Itaporã do Tocantins
Tocantins;Ocidental do Tocantins;Gurupi;Jaú do Tocantins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Juarina
Tocantins;Ocidental do Tocantins;Rio Formoso;Lagoa da Confusão
Tocantins;Oriental do Tocantins;Jalapão;Lagoa do Tocantins
Tocantins;Oriental do Tocantins;Porto Nacional;Lajeado
Tocantins;Oriental do Tocantins;Dianópolis;Lavandeira
Tocantins;Oriental do Tocantins;Jalapão;Lizarda
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Luzinópolis
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Marianópolis do Tocantins
Tocantins;Oriental do Tocantins;Jalapão;Mateiros
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Maurilândia do Tocantins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Miracema do Tocantins
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Miranorte
Tocantins;Oriental do Tocantins;Porto Nacional;Monte do Carmo
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Monte Santo do Tocantins
Tocantins;Ocidental do Tocantins;Araguaína;Muricilândia
Tocantins;Oriental do Tocantins;Dianópolis;Natividade
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Nazaré
Tocantins;Ocidental do Tocantins;Araguaína;Nova Olinda
Tocantins;Ocidental do Tocantins;Rio Formoso;Nova Rosalândia
Tocantins;Oriental do Tocantins;Jalapão;Novo Acordo
Tocantins;Oriental do Tocantins;Dianópolis;Novo Alegre
Tocantins;Oriental do Tocantins;Dianópolis;Novo Jardim
Tocantins;Ocidental do Tocantins;Rio Formoso;Oliveira de Fátima
Tocantins;Oriental do Tocantins;Porto Nacional;Palmas
Tocantins;Ocidental do Tocantins;Araguaína;Palmeirante
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Palmeiras do Tocantins
Tocantins;Ocidental do Tocantins;Gurupi;Palmeirópolis
Tocantins;Ocidental do Tocantins;Rio Formoso;Paraíso do Tocantins
Tocantins;Oriental do Tocantins;Dianópolis;Paranã
Tocantins;Ocidental do Tocantins;Araguaína;Pau D'Arco
Tocantins;Oriental do Tocantins;Porto Nacional;Pedro Afonso
Tocantins;Ocidental do Tocantins;Gurupi;Peixe
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Pequizeiro
Tocantins;Oriental do Tocantins;Dianópolis;Pindorama do Tocantins
Tocantins;Ocidental do Tocantins;Araguaína;Piraquê
Tocantins;Ocidental do Tocantins;Rio Formoso;Pium
Tocantins;Oriental do Tocantins;Dianópolis;Ponte Alta do Bom Jesus
Tocantins;Oriental do Tocantins;Jalapão;Ponte Alta do Tocantins
Tocantins;Oriental do Tocantins;Dianópolis;Porto Alegre do Tocantins
Tocantins;Oriental do Tocantins;Porto Nacional;Porto Nacional
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Praia Norte
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Presidente Kennedy
Tocantins;Ocidental do Tocantins;Rio Formoso;Pugmil
Tocantins;Oriental do Tocantins;Jalapão;Recursolândia
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Riachinho
Tocantins;Oriental do Tocantins;Dianópolis;Rio da Conceição
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Rio dos Bois
Tocantins;Oriental do Tocantins;Jalapão;Rio Sono
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Sampaio
Tocantins;Ocidental do Tocantins;Rio Formoso;Sandolândia
Tocantins;Ocidental do Tocantins;Araguaína;Santa Fé do Araguaia
Tocantins;Oriental do Tocantins;Porto Nacional;Santa Maria do Tocantins
Tocantins;Ocidental do Tocantins;Gurupi;Santa Rita do Tocantins
Tocantins;Oriental do Tocantins;Dianópolis;Santa Rosa do Tocantins
Tocantins;Oriental do Tocantins;Jalapão;Santa Tereza do Tocantins
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Santa Terezinha do Tocantins
Tocantins;Ocidental do Tocantins;Bico do Papagaio;São Bento do Tocantins
Tocantins;Oriental do Tocantins;Jalapão;São Félix do Tocantins
Tocantins;Ocidental do Tocantins;Bico do Papagaio;São Miguel do Tocantins
Tocantins;Ocidental do Tocantins;Gurupi;São Salvador do Tocantins
Tocantins;Ocidental do Tocantins;Bico do Papagaio;São Sebastião do Tocantins
Tocantins;Oriental do Tocantins;Dianópolis;São Valério
Tocantins;Oriental do Tocantins;Porto Nacional;Silvanópolis
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Sítio Novo do Tocantins
Tocantins;Ocidental do Tocantins;Gurupi;Sucupira
Tocantins;Oriental do Tocantins;Dianópolis;Taguatinga
Tocantins;Oriental do Tocantins;Dianópolis;Taipas do Tocantins
Tocantins;Ocidental do Tocantins;Gurupi;Talismã
Tocantins;Oriental do Tocantins;Porto Nacional;Tocantínia
Tocantins;Ocidental do Tocantins;Bico do Papagaio;Tocantinópolis
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Tupirama
Tocantins;Ocidental do Tocantins;Miracema do Tocantins;Tupiratins
Tocantins;Ocidental do Tocantins;Araguaína;Wanderlândia
Tocantins;Ocidental do Tocantins;Araguaína;Xambioá
Maranhão;Oeste Maranhense;Imperatriz;Açailândia
Maranhão;Leste Maranhense;Coelho Neto;Afonso Cunha
Maranhão;Leste Maranhense;Baixo Parnaíba Maranhense;Água Doce do Maranhão
Maranhão;Norte Maranhense;Litoral Ocidental Maranhense;Alcântara
Maranhão;Leste Maranhense;Coelho Neto;Aldeias Altas
Maranhão;Oeste Maranhense;Pindaré;Altamira do Maranhão
